file1,att1,sizeDistinct1,file2,att2,sizeDistinct2,joinSize,containment1,containment2,jaccard,size1,size2,label
worldcitiespop.csv,AccentCity,2375760,countries_and_continents.csv,Capital,243,221,9.3e-05,0.909465021,9.3e-05,3173958,251,semantic
worldcitiespop.csv,AccentCity,2375760,countries_of_the_world.csv,Country,225,132,5.56e-05,0.586666667,5.56e-05,3173958,227,domain
worldcitiespop.csv,AccentCity,2375760,fifa_ranking.csv,country_full,216,120,5.05e-05,0.555555556,5.05e-05,3173958,57793,domain
worldcitiespop.csv,AccentCity,2375760,whr2015.csv,Country,158,97,4.08e-05,0.613924051,4.08e-05,3173958,158,domain
worldcitiespop.csv,AccentCity,2375760,who_suicide_statistics.csv,country,141,82,3.45e-05,0.581560284,3.45e-05,3173958,43776,domain
worldcitiespop.csv,AccentCity,2375760,ipums_la_98-small.csv,bplg,110,69,2.9e-05,0.627272727,2.9e-05,3173958,7485,domain
worldcitiespop.csv,AccentCity,2375760,Word_University_Rank_2020.csv,Country,92,61,2.57e-05,0.663043478,2.57e-05,3173958,1396,domain
worldcitiespop.csv,AccentCity,2375760,cwurData.csv,country,59,43,1.81e-05,0.728813559,1.81e-05,3173958,2200,domain
worldcitiespop.csv,AccentCity,2375760,Minimum_Wage_Data.csv,State,55,42,1.77e-05,0.763636364,1.77e-05,3173958,2750,domain
worldcitiespop.csv,AccentCity,2375760,movies.csv,country,57,42,1.77e-05,0.736842105,1.77e-05,3173958,6820,domain
worldcitiespop.csv,AccentCity,2375760,movie_metadata.csv,country,64,39,1.64e-05,0.609375,1.64e-05,3173958,4932,domain
worldcitiespop.csv,AccentCity,2375760,ipums_la_98-small.csv,migplac5,50,29,1.22e-05,0.58,1.22e-05,3173958,7485,domain
worldcitiespop.csv,AccentCity,2375760,dataset_34_postoperative-patient-data.csv,decision,3,2,8.42e-07,0.666666667,8.42e-07,3173958,90,domain
worldcitiespop.csv,AccentCity,2375760,WA_Fn-UseC_-HR-Employee-Attrition.csv,Over18,1,1,4.21e-07,1,4.21e-07,3173958,1470,domain
wikipedia-iso-country-codes.csv,Alpha-3_code,246,edu.csv,c_codes,183,179,0.727642276,0.978142077,0.417249417,246,15312,semantic
wikipedia-iso-country-codes.csv,Alpha-3_code,246,fifa_ranking.csv,country_abrv,216,135,0.548780488,0.625,0.292207792,246,57793,semantic
dataSpotifyClass.csv,artist,1343,dataSpotify.csv,artist,1343,1343,1,1,0.5,2017,2017,semantic
dataSpotifyClass.csv,artist,1343,featuresdf.csv,artists,78,62,0.046165302,0.794871795,0.043631246,2017,100,semantic
featuresdf.csv,artists,78,dataSpotify.csv,artist,1343,62,0.794871795,0.046165302,0.043631246,100,2017,semantic
featuresdf.csv,artists,78,top10s.csv,artist,184,44,0.564102564,0.239130435,0.167938931,100,603,semantic
WA_Fn-UseC_-HR-Employee-Attrition.csv,Attrition,2,ipums_la_98-small.csv,workedyr,3,2,1,0.666666667,0.4,1470,7485,domain
edu.csv,c_codes,183,fifa_ranking.csv,country_abrv,216,109,0.595628415,0.50462963,0.273182957,15312,57793,semantic
ipums_la_98-small.csv,chborn,14,phpRiBb0c.csv,protein,7,4,0.285714286,0.571428571,0.19047619,7485,77,domain
worldcitiespop.csv,City,2351892,dataset_34_postoperative-patient-data.csv,L_CORE,3,2,8.5e-07,0.666666667,8.5e-07,3173958,90,domain
worldcitiespop.csv,City,2351892,dataset_34_postoperative-patient-data.csv,L_SURF,3,2,8.5e-07,0.666666667,8.5e-07,3173958,90,domain
worldcitiespop.csv,City,2351892,dataset_34_postoperative-patient-data.csv,L_BP,3,2,8.5e-07,0.666666667,8.5e-07,3173958,90,domain
dataset_1_anneal.csv,class,5,phpRiBb0c.csv,protein,7,4,0.8,0.571428571,0.333333333,898,77,domain
dataset_1_anneal.csv,class,5,gender_development.csv,Mean_Years_of_Education_Female,99,3,0.6,0.03030303,0.028846154,898,195,domain
dataset_1_anneal.csv,class,5,billboard_lyrics_1964-2015.csv,Source,4,3,0.6,0.75,0.333333333,898,5100,domain
countries_and_continents.csv,Continent,8,wikipedia-iso-country-codes.csv,Alpha-2_code,246,5,0.625,0.020325203,0.019685039,251,246,domain
movie_metadata.csv,country,64,countries_of_the_world.csv,Country,225,56,0.875,0.248888889,0.193771626,4932,227,semantic
movie_metadata.csv,country,64,World_countries_env_vars.csv,Country,243,55,0.859375,0.226337449,0.179153094,4932,243,semantic
gender_development.csv,Country,195,fifa_ranking.csv,country_full,216,161,0.825641026,0.74537037,0.391727494,195,57793,semantic
