file1,att1,sizeDistinct1,file2,att2,sizeDistinct2,joinSize,containment1,containment2,jaccard,size1,size2,label
worldcitiespop.csv,AccentCity,2375760,song_data.csv,song_name,13070,869,0.000365778,0.066488141,0.000363776,3173958,18835,domain
worldcitiespop.csv,AccentCity,2375760,movies.csv,name,6731,489,0.000205829,0.072648938,0.000205247,3173958,6820,domain
worldcitiespop.csv,AccentCity,2375760,netflix_titles.csv,title,6173,402,0.000169209,0.065122307,0.00016877,3173958,6236,domain
worldcitiespop.csv,AccentCity,2375760,movie_metadata.csv,movie_title,4808,376,0.000158265,0.078202995,0.000157945,3173958,4932,domain
worldcitiespop.csv,AccentCity,2375760,countries_and_continents.csv,Capital,243,221,9.3e-05,0.909465021,9.3e-05,3173958,251,semantic
worldcitiespop.csv,AccentCity,2375760,dataSpotifyClass.csv,song_title,1956,137,5.77e-05,0.0700409,5.76e-05,3173958,2017,domain
worldcitiespop.csv,AccentCity,2375760,dataSpotify.csv,song_title,1956,137,5.77e-05,0.0700409,5.76e-05,3173958,2017,domain
worldcitiespop.csv,AccentCity,2375760,countries_of_the_world.csv,Country,225,132,5.56e-05,0.586666667,5.56e-05,3173958,227,domain
worldcitiespop.csv,AccentCity,2375760,countries_and_continents.csv,name,250,131,5.51e-05,0.524,5.51e-05,3173958,251,domain
worldcitiespop.csv,AccentCity,2375760,World_countries_env_vars.csv,Country,243,131,5.51e-05,0.53909465,5.51e-05,3173958,243,domain
worldcitiespop.csv,AccentCity,2375760,wikipedia-iso-country-codes.csv,English_short_name_lower_case,246,127,5.35e-05,0.516260163,5.35e-05,3173958,246,domain
worldcitiespop.csv,AccentCity,2375760,countries_and_continents.csv,official_name_en,242,124,5.22e-05,0.512396694,5.22e-05,3173958,251,domain
worldcitiespop.csv,AccentCity,2375760,fifa_ranking.csv,country_full,216,120,5.05e-05,0.555555556,5.05e-05,3173958,57793,domain
worldcitiespop.csv,AccentCity,2375760,gender_development.csv,Country,195,99,4.17e-05,0.507692308,4.17e-05,3173958,195,domain
worldcitiespop.csv,AccentCity,2375760,whr2015.csv,Country,158,97,4.08e-05,0.613924051,4.08e-05,3173958,158,domain
worldcitiespop.csv,AccentCity,2375760,IMDB-Movie-Data.csv,Title,999,92,3.87e-05,0.092092092,3.87e-05,3173958,1000,domain
worldcitiespop.csv,AccentCity,2375760,dataSpotifyClass.csv,artist,1343,91,3.83e-05,0.067758749,3.83e-05,3173958,2017,domain
worldcitiespop.csv,AccentCity,2375760,dataSpotify.csv,artist,1343,91,3.83e-05,0.067758749,3.83e-05,3173958,2017,domain
worldcitiespop.csv,AccentCity,2375760,who_suicide_statistics.csv,country,141,82,3.45e-05,0.581560284,3.45e-05,3173958,43776,domain
worldcitiespop.csv,AccentCity,2375760,countries_and_continents.csv,official_name_fr,242,77,3.24e-05,0.318181818,3.24e-05,3173958,251,domain
worldcitiespop.csv,AccentCity,2375760,ipums_la_98-small.csv,bplg,110,69,2.9e-05,0.627272727,2.9e-05,3173958,7485,domain
worldcitiespop.csv,AccentCity,2375760,Word_University_Rank_2020.csv,Country,92,61,2.57e-05,0.663043478,2.57e-05,3173958,1396,domain
worldcitiespop.csv,AccentCity,2375760,top10s.csv,title,584,50,2.1e-05,0.085616438,2.1e-05,3173958,603,domain
worldcitiespop.csv,AccentCity,2375760,cwurData.csv,country,59,43,1.81e-05,0.728813559,1.81e-05,3173958,2200,domain
worldcitiespop.csv,AccentCity,2375760,Minimum_Wage_Data.csv,State,55,42,1.77e-05,0.763636364,1.77e-05,3173958,2750,domain
