file1,att1,sizeDistinct1,file2,att2,sizeDistinct2,joinSize,containment1,containment2,jaccard,size1,size2,label
Minimum_Wage_Data.csv,Year,50,movies.csv,year,31,31,0.62,1,0.382716049,2750,6820,semantic
dataSpotifyClass.csv,id,2017,dataSpotify.csv,id,2017,2017,1,1,0.5,2017,2017,semantic
dataSpotifyClass.csv,duration_ms,1921,dataSpotify.csv,duration_ms,1921,1921,1,1,0.5,2017,2017,semantic
dataSpotifyClass.csv,key,12,dataSpotify.csv,key,12,12,1,1,0.5,2017,2017,semantic
dataSpotifyClass.csv,mode,2,dataSpotify.csv,mode,2,2,1,1,0.5,2017,2017,semantic
dataSpotifyClass.csv,target,2,dataSpotify.csv,target,2,2,1,1,0.5,2017,2017,semantic
Minimum_Wage_Data.csv,Year,50,who_suicide_statistics.csv,year,38,38,0.76,1,0.431818182,2750,43776,semantic
top10s.csv,year,10,movies.csv,year,31,7,0.7,0.225806452,0.170731707,603,6820,semantic
cwurData.csv,year,4,movies.csv,year,31,4,1,0.129032258,0.114285714,2200,6820,semantic
dataset_22_mfeat-zernike.csv,class,10,dataset_16_mfeat-karhunen.csv,class,10,10,1,1,0.5,2000,2000,semantic
top10s.csv,year,10,who_suicide_statistics.csv,year,38,7,0.7,0.184210526,0.145833333,603,43776,semantic
cwurData.csv,year,4,who_suicide_statistics.csv,year,38,4,1,0.105263158,0.095238095,2200,43776,semantic
movies.csv,year,31,who_suicide_statistics.csv,year,38,31,1,0.815789474,0.449275362,6820,43776,semantic
Netflix_Shows.csv,release_year,35,who_suicide_statistics.csv,year,38,31,0.885714286,0.815789474,0.424657534,1000,43776,semantic
dataset_22_mfeat-zernike.csv,class,10,dataset_14_mfeat-fourier.csv,class,10,10,1,1,0.5,2000,2000,semantic
top50.csv,id,50,mobile.csv,id,1000,50,1,0.05,0.047619048,50,1000,semantic
top50.csv,id,50,top10s.csv,id,603,50,1,0.08291874,0.076569678,50,603,semantic
top50.csv,id,50,dataSpotify.csv,id,2017,50,1,0.024789291,0.024189647,50,2017,semantic
top50.csv,id,50,dataSpotify.csv,key,12,11,0.22,0.916666667,0.177419355,50,2017,semantic
Minimum_Wage_Data.csv,Year,50,top10s.csv,year,10,8,0.16,0.8,0.133333333,2750,603,semantic
Minimum_Wage_Data.csv,Year,50,cwurData.csv,year,4,4,0.08,1,0.074074074,2750,2200,semantic
Minimum_Wage_Data.csv,Year,50,Netflix_Shows.csv,release_year,35,34,0.68,0.971428571,0.4,2750,1000,semantic
Minimum_Wage_Data.csv,Year,50,movie_metadata.csv,title_year,92,49,0.98,0.532608696,0.345070423,2750,4932,semantic
Minimum_Wage_Data.csv,Year,50,billboard_lyrics_1964-2015.csv,Year,51,48,0.96,0.941176471,0.475247525,2750,5100,semantic
top10s.csv,year,10,cwurData.csv,year,4,4,0.4,1,0.285714286,603,2200,semantic
top10s.csv,year,10,Netflix_Shows.csv,release_year,35,8,0.8,0.228571429,0.177777778,603,1000,semantic
top10s.csv,year,10,movie_metadata.csv,title_year,92,7,0.7,0.076086957,0.068627451,603,4932,semantic
top10s.csv,year,10,billboard_lyrics_1964-2015.csv,Year,51,6,0.6,0.117647059,0.098360656,603,5100,semantic
dataset_18_mfeat-morphological.csv,class,10,dataset_22_mfeat-zernike.csv,class,10,10,1,1,0.5,2000,2000,semantic
dataset_18_mfeat-morphological.csv,class,10,dataset_16_mfeat-karhunen.csv,class,10,10,1,1,0.5,2000,2000,semantic
dataset_18_mfeat-morphological.csv,class,10,dataset_14_mfeat-fourier.csv,class,10,10,1,1,0.5,2000,2000,semantic
dataset_18_mfeat-morphological.csv,class,10,dataset_12_mfeat-factors.csv,class,10,10,1,1,0.5,2000,2000,semantic
cwurData.csv,year,4,Netflix_Shows.csv,release_year,35,4,1,0.114285714,0.102564103,2200,1000,semantic
cwurData.csv,year,4,movie_metadata.csv,title_year,92,4,1,0.043478261,0.041666667,2200,4932,semantic
cwurData.csv,year,4,billboard_lyrics_1964-2015.csv,Year,51,4,1,0.078431373,0.072727273,2200,5100,semantic
movies.csv,year,31,Netflix_Shows.csv,release_year,35,30,0.967741935,0.857142857,0.454545455,6820,1000,semantic
movies.csv,year,31,movie_metadata.csv,title_year,92,31,1,0.336956522,0.25203252,6820,4932,semantic
movies.csv,year,31,billboard_lyrics_1964-2015.csv,Year,51,30,0.967741935,0.588235294,0.365853659,6820,5100,semantic
Netflix_Shows.csv,release_year,35,movie_metadata.csv,title_year,92,34,0.971428571,0.369565217,0.267716535,1000,4932,semantic
Netflix_Shows.csv,release_year,35,billboard_lyrics_1964-2015.csv,Year,51,32,0.914285714,0.62745098,0.372093023,1000,5100,semantic
who_suicide_statistics.csv,year,38,movie_metadata.csv,title_year,92,38,1,0.413043478,0.292307692,43776,4932,semantic
who_suicide_statistics.csv,year,38,billboard_lyrics_1964-2015.csv,Year,51,37,0.973684211,0.725490196,0.415730337,43776,5100,semantic
movie_metadata.csv,title_year,92,billboard_lyrics_1964-2015.csv,Year,51,51,0.554347826,1,0.356643357,4932,5100,semantic
ICU.csv,AGE,64,ipums_la_98-small.csv,age,91,62,0.96875,0.681318681,0.4,200,7485,semantic
