make,carID,carID_and_Year,D_P,Protection,Doors,Year,Size
Acura,Acura_Integra,Acura_Integra_87,Driver,manual_belts,2,87,lt
Acura,Acura_Integra_RS,Acura_Integra_RS_90,Driver,Motorized_belts,4,90,lt
Acura,Acura_Legend_LS,Acura_Legend_LS_88,Driver,d_airbag,4,88,med
Audi,Audi_80,Audi_80_89,Driver,manual_belts,4,89,comp
Audi,Audi_100,Audi_100_89,Driver,d_airbag,4,89,med
BMW,BMW_325i,BMW_325i_90,Driver,d_airbag,2,90,comp
Buick,Buick_Century,Buick_Century_91,Driver,passive_belts,4,91,comp
Buick,Buick_Elect._Park_Ave,Buick_Elect._Park_Ave_88,Driver,manual_belts,4,88,med
Buick,Buick_Le_Sabre,Buick_Le_Sabre_90,Driver,passive_belts,2,90,med
Buick,Buick_Regal,Buick_Regal_88,Driver,passive_belts,2,88,med
Cadillac,Cadillac_De_Ville,Cadillac_De_Ville_90,Driver,d_airbag,4,90,hev
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_88,Driver,manual_belts,?,88,van
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_89,Driver,manual_belts,?,89,van
Chevrolet,Chevrolet_Beretta,Chevrolet_Beretta_91,Driver,d_airbag,2,91,comp
Chevrolet,Chevrolet_Beretta_GT,Chevrolet_Beretta_GT_88,Driver,passive_belts,2,88,comp
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_87,Driver,manual_belts,2,87,med
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_91,Driver,d_airbag,2,91,med
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_89,Driver,manual_belts,4,89,hev
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_91,Driver,d_airbag,4,91,hev
Chevrolet,Chevrolet_Cavalier,Chevrolet_Cavalier_90,Driver,passive_belts,4,90,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_88,Driver,manual_belts,4,88,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_91,Driver,d_airbag,4,91,comp
Chevrolet,Chevrolet_C-1500,Chevrolet_C-1500_88,Driver,manual_belts,?,88,pu
Chevrolet,Chevrolet_G-20_Beauville,Chevrolet_G-20_Beauville_87,Driver,manual_belts,?,87,van
Chevrolet,Chevrolet_G-20,Chevrolet_G-20_88,Driver,manual_belts,?,88,van
Chevrolet,Chevrolet_Lumina,Chevrolet_Lumina_90,Driver,passive_belts,4,90,med
Chevrolet,Chevrolet_Suburban,Chevrolet_Suburban_87,Driver,manual_belts,4,87,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_89,Driver,manual_belts,2,89,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_90,Driver,manual_belts,2,90,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_91,Driver,manual_belts,4,91,mpv
Chevrolet,Chevrolet_S-10_Pickup,Chevrolet_S-10_Pickup_87,Driver,manual_belts,?,87,pu
Chevrolet,Chevrolet_S-10_Pickup_4x4,Chevrolet_S-10_Pickup_4x4_90,Driver,manual_belts,?,90,pu
Chrysler,Chrysler_Fifth_Ave,Chrysler_Fifth_Ave_89,Driver,d_airbag,4,89,hev
Chrysler,Chrysler_Imperial,Chrysler_Imperial_90,Driver,d_airbag,4,90,hev
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_87,Driver,passive_belts,2,87,comp
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_90,Driver,d_airbag,2,90,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_88,Driver,manual_belts,4,88,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_91,Driver,d_airbag,4,91,med
Daihatsu,Daihatsu_Charade,Daihatsu_Charade_88,Driver,manual_belts,2,88,mini
Dodge,Dodge_colt,Dodge_colt_88,Driver,manual_belts,4,88,lt
Dodge,Dodge_D-150,Dodge_D-150_88,Driver,manual_belts,?,88,pu
Dodge,Dodge_Dakota,Dodge_Dakota_87,Driver,manual_belts,?,87,pu
Dodge,Dodge_Dakota_4x4,Dodge_Dakota_4x4_90,Driver,manual_belts,?,90,pu
Dodge,Dodge_Daytona,Dodge_Daytona_89,Driver,d_airbag,2,89,comp
Dodge,Dodge_Shadow,Dodge_Shadow_87,Driver,manual_belts,2,87,comp
Dodge,Dodge_Shadow,Dodge_Shadow_91,Driver,d_airbag,4,91,comp
Dodge,Dodge_Spirit,Dodge_Spirit_89,Driver,manual_belts,4,89,comp
Eagle,Eagle_Medallion,Eagle_Medallion_89,Driver,Motorized_belts,4,89,comp
Eagle,Eagle_Premier,Eagle_Premier_89,Driver,manual_belts,4,89,med
Ford,Ford_Aerostar,Ford_Aerostar_87,Driver,manual_belts,?,87,van
Ford,Ford_Bronco_II_4x4,Ford_Bronco_II_4x4_89,Driver,manual_belts,2,89,mpv
Ford,Ford_Club_Wagon,Ford_Club_Wagon_90,Driver,manual_belts,?,90,van
Ford,Ford_Escort,Ford_Escort_87,Driver,passive_belts,2,87,lt
Ford,Ford_Escort,Ford_Escort_91,Driver,Motorized_belts,2,91,lt
Ford,Ford_Explorer_4x4,Ford_Explorer_4x4_91,Driver,manual_belts,4,91,mpv
Ford,Ford_F-150,Ford_F-150_88,Driver,manual_belts,?,88,pu
Ford,Ford_Festiva,Ford_Festiva_88,Driver,manual_belts,2,88,mini
Ford,Ford_Mustang_LX,Ford_Mustang_LX_87,Driver,manual_belts,2,87,comp
Ford,Ford_Mustang,Ford_Mustang_90,Driver,d_airbag,2,90,med
Ford,Ford_Probe,Ford_Probe_89,Driver,manual_belts,2,89,comp
Ford,Ford_Probe,Ford_Probe_91,Driver,Motorized_belts,2,91,comp
Ford,Ford_Ranger,Ford_Ranger_87,Driver,manual_belts,?,87,pu
Ford,Ford_Ranger_4x4,Ford_Ranger_4x4_90,Driver,manual_belts,?,90,pu
Ford,Ford_Taurus,Ford_Taurus_88,Driver,manual_belts,4,88,med
Ford,Ford_Taurus,Ford_Taurus_90,Driver,d_airbag,4,90,med
